country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category,lat,lon
Colombia,Pasto,19,1,0,1,8,1,1,1,19,1,1.2140275,-77.2785096
Brazil,Pedra,25,1,0,1,11,1,1,1,25,1,-8.4995589,-36.944377
Thailand,Phak Hai,54,2,1,1,25,1,1,1,54,2,14.4582673,100.3693831
Thailand,Phanat Nikhom,53,2,1,1,18,1,1,1,53,2,13.4495893,101.1808862
United States of America,Omaha,43,1,1,1,40,1,4,1,43,1,41.2587459,-95.9383758
Italy,Orbetello,63,2,1,1,47,1,0,1,63,2,42.4380944,11.2107429
Russia,Ostrov,34,1,1,1,34,1,0,1,34,1,57.344631,28.357817
United States of America,Owatonna,58,2,1,1,35,1,3,1,58,2,44.0839937,-93.2261076
Pakistan,Paharpur,174,4,3,1,149,3,0,1,174,4,32.1044327,70.9706664
Netherlands,Drimmelen,40,1,1,1,31,1,5,1,40,1,51.69768865,4.743934177567655
Germany,Dusseldorf,53,2,1,1,28,1,6,1,53,2,51.2254018,6.7763137
United States of America,Dyer,65,2,2,1,23,1,13,1,65,2,36.0667348,-88.9939549
