country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category
India,Tiptur,45,1,0,1,21,1,0,1,45,1
Spain,Torello,26,1,1,1,21,1,2,1,26,1
Italy,Trieste,47,1,1,1,47,1,1,1,25,1
Italy,Trinitapoli,53,2,1,1,48,1,1,1,53,2
Japan,Tsushima,60,2,1,1,60,2,0,1,21,1
Japan,Uji,48,1,1,1,48,1,0,1,23,1
India,Uravakonda,78,2,0,1,26,1,0,1,78,2
South Africa,Ventersburg,156,4,8,1,4,1,13,1,156,4
Russia,Vladikavkaz,51,2,1,1,33,1,2,1,51,2
United States of America,Walnut Park,82,2,2,1,18,1,30,1,82,2
United States of America,Watsonville,50,1,1,1,30,1,7,1,50,1
Germany,Weeze,31,1,0,1,24,1,3,1,31,1
Brazil,Codo,22,1,0,1,11,1,0,1,22,1
Germany,Bad Neustadt,32,1,1,1,26,1,3,1,32,1
India,Barkhera,500,6,2,1,88,2,1,1,494,6
Netherlands,Bedum,30,1,1,1,30,1,3,1,27,1
Austria,Bischofshofen,26,1,0,1,26,1,1,1,17,1
Germany,Bonen,35,1,1,1,35,1,1,1,26,1
France,Bouguenais,30,1,0,1,30,1,1,1,17,1
Ukraine,Brovary,56,2,1,1,38,1,1,1,56,2
United States of America,Brownwood,52,2,1,1,24,1,1,1,52,2
Philippines,Calamba,54,2,1,1,24,1,1,1,54,2
Viet Nam,Cam Pha,73,2,2,1,36,1,1,1,73,2
Italy,Castel San Giovanni,59,2,1,1,34,1,2,1,59,2
Mexico,Pueblo Nuevo,16,1,1,1,10,1,1,1,16,1
India,Rajgarh,204,5,1,1,42,1,0,1,204,5
France,Saint Avertin,38,1,1,1,25,1,2,1,38,1
France,Saint Die,31,1,1,1,31,1,1,1,30,1
Japan,Matto,81,2,3,1,16,1,18,1,81,2
United States of America,Milford,37,1,1,1,37,1,0,1,35,1
United States of America,Mineola,59,2,2,1,38,1,8,1,59,2
Portugal,Moita,42,1,1,1,42,1,0,1,19,1
India,Mughal Sarai,181,4,4,1,77,2,7,1,181,4
United States of America,East Stroudsburg,68,2,2,1,25,1,7,1,68,2
Spain,Ecija,33,1,1,1,19,1,4,1,33,1
India,Daudnagar,150,4,3,1,139,3,1,1,150,4
Latvia,Daugavpils,34,1,1,1,34,1,0,1,26,1
Republic of North Macedonia,Dolneni,59,2,1,1,41,1,0,1,59,2
Mexico,Pochutla,52,2,1,1,17,1,2,1,52,2
Iran (Islamic Republic of),Ramshir,140,3,1,1,117,3,0,1,140,3
United States of America,Elkton,39,1,1,1,27,1,9,1,39,1
United States of America,Merrimack,30,1,1,1,30,1,3,1,22,1
Japan,Muika,37,1,1,1,37,1,1,1,19,1
Guyana,New Amsterdam,61,2,0,1,20,1,0,1,61,2
United States of America,Newburgh,55,2,2,1,20,1,12,1,55,2
India,Olpad,155,4,1,1,25,1,0,1,155,4
Indonesia,Pakisaji,23,1,0,1,22,1,0,1,23,1
United States of America,Paris,72,2,1,1,24,1,3,1,72,2
Poland,Paslek,36,1,0,1,32,1,0,1,36,1
Cabo Verde,Praia,40,1,0,1,40,1,0,1,27,1
China,Qianguo,95,2,2,1,87,2,0,1,95,2
Russia,Shcherbinka,44,1,1,1,25,1,8,1,44,1
Russia,Sokol,46,1,1,1,29,1,1,1,46,1
India,Surajgarh,500,6,1,1,40,1,0,1,464,6
Italy,Syracuse,56,2,1,1,31,1,3,1,56,2
Brazil,Taboao Da Serra,110,3,3,1,7,1,12,1,110,3
Egypt,Tanta,65,2,1,1,52,2,3,1,65,2
India,Tasgaon,90,2,0,1,24,1,0,1,90,2
Germany,Geesthacht,33,1,0,1,33,1,1,1,32,1
Russia,Golyshmanovo,48,1,1,1,36,1,0,1,48,1
Brazil,Itupiranga,37,1,1,1,5,1,0,1,37,1
India,Jamai,176,4,0,1,33,1,0,1,176,4
Sierra Leone,Bo,50,1,1,1,11,1,0,1,50,1
United States of America,Brandon,64,2,1,1,24,1,3,1,64,2
Romania,Campulung,65,2,1,1,41,1,0,1,65,2
Italy,Castel Maggiore,37,1,1,1,37,1,3,1,34,1
Italy,Castelfranco Di Sotto,41,1,1,1,41,1,2,1,18,1
United States of America,Abbeville,41,1,1,1,23,1,2,1,41,1
France,Aix Les Bains,48,1,1,1,24,1,2,1,48,1
Italy,Arzano,52,2,1,1,52,2,2,1,38,1
Japan,Ashiya,48,1,1,1,48,1,0,1,19,1
Germany,Bad Urach,39,1,1,1,25,1,2,1,39,1
Germany,Bad Windsheim,41,1,1,1,26,1,3,1,41,1
Ukraine,Bakhchysaray,40,1,1,1,40,1,4,1,39,1
Indonesia,Bantul,46,1,1,1,25,1,0,1,46,1
Burkina Faso,Dano,38,1,1,1,12,1,0,1,38,1
,Diu,128,3,0,1,29,1,0,1,128,3
South Africa,Cullinan,262,5,16,1,3,1,15,1,262,5
India,Curchorem,79,2,0,1,21,1,0,1,79,2
,Formia,47,1,1,1,47,1,0,1,32,1
Italy,Chiavari,42,1,1,1,42,1,1,1,21,1
Viet Nam,Ha Noi,69,2,2,1,49,1,2,1,69,2
Finland,Hameenlinna,29,1,0,1,29,1,1,1,5,1
United Kingdom of Great Britain and Northern Ireland,Harlow,52,2,0,1,36,1,2,1,52,2
India,Khowai,63,2,3,1,36,1,2,1,63,2
United Republic of Tanzania,Kiomboi,20,1,0,1,16,1,0,1,20,1
India,Kollam,70,2,1,1,24,1,1,1,70,2
China,Kunming,49,1,1,1,21,1,2,1,49,1
United States of America,La Grange Park,59,2,2,1,29,1,14,1,59,2
Germany,Ladenburg,53,2,1,1,31,1,3,1,53,2
Spain,Las Palmas,37,1,1,1,37,1,0,1,16,1
Germany,Lindenberg,110,3,1,1,23,1,2,1,110,3
Italy,Magione,38,1,1,1,38,1,2,1,23,1
Colombia,Maria La Baja,56,2,1,1,11,1,5,1,56,2
Poland,Pulawy,30,1,1,1,30,1,1,1,30,1
Germany,Rietberg,28,1,0,1,28,1,1,1,28,1
Pakistan,Sanjwal,203,5,3,1,203,5,3,1,109,3
Brazil,Sao Joao De Meriti,187,4,10,1,0,1,34,1,187,4
Turkey,Mustafakemalpasa,37,1,1,1,37,1,1,1,26,1
Japan,Niigata,42,1,1,1,42,1,0,1,31,1
Italy,Nonantola,57,2,1,1,24,1,10,1,57,2
Russia,Novovoronezh,52,2,1,1,29,1,2,1,52,2
Brazil,Agua Branca,19,1,0,1,14,1,0,1,19,1
United States of America,Allen Park,51,2,1,1,28,1,8,1,51,2
India,Amarwara,154,4,0,1,37,1,0,1,154,4
Brazil,Serro,39,1,1,1,2,1,3,1,39,1
Malaysia,Sibu,61,2,3,1,21,1,0,1,61,2
Portugal,Pinhal Novo,42,1,1,1,36,1,2,1,42,1
United Kingdom of Great Britain and Northern Ireland,Solihull,49,1,1,1,5,1,11,1,49,1
United States of America,Spanaway,50,1,1,1,33,1,8,1,50,1
Japan,Suibara,41,1,1,1,41,1,0,1,29,1
Japan,Shijonawate,31,1,1,1,31,1,3,1,27,1
Indonesia,Slawi,92,2,2,1,86,2,1,1,92,2
China,Dongtai,159,4,3,1,159,4,3,1,121,3
Brazil,Erechim,27,1,0,1,11,1,2,1,27,1
Turkey,Gediz,46,1,1,1,46,1,0,1,36,1
United States of America,El Cajon,71,2,2,1,5,1,27,1,71,2
United States of America,Alderwood Manor,62,2,2,1,21,1,10,1,62,2
Russia,Anadyr,18,1,1,1,18,1,1,1,9,1
United States of America,Appleton,56,2,1,1,31,1,0,1,56,2
Russia,Armavir,48,1,1,1,48,1,1,1,28,1
Brazil,Augusto Correa,22,1,0,1,19,1,0,1,22,1
New Zealand,Avarua,28,1,0,1,28,1,0,1,12,1
Italy,Avigliano,54,2,1,1,54,2,0,1,40,1
United Kingdom of Great Britain and Northern Ireland,Aylesbury,34,1,1,1,30,1,1,1,34,1
,Constanta,38,1,1,1,38,1,0,1,23,1
Brazil,Correntina,11,1,0,1,11,1,0,1,3,1
United States of America,Cottage Grove,51,2,1,1,42,1,2,1,51,2
United States of America,College Station,122,3,1,1,19,1,2,1,122,3
Indonesia,Curup,69,2,1,1,29,1,0,1,69,2
Indonesia,Gondang,177,4,7,1,9,1,17,1,177,4
Portugal,Gulpilhares,41,1,0,1,41,1,0,1,20,1
China,Hanyang,72,2,2,1,28,1,7,1,72,2
Germany,Herzogenaurach,61,2,1,1,53,2,0,1,61,2
United States of America,Hibbing,54,2,1,1,28,1,0,1,54,2
Germany,Hofgeismar,53,2,1,1,45,1,0,1,53,2
United Republic of Tanzania,Ikungi,19,1,0,1,19,1,0,1,16,1
Italy,Impruneta,74,2,1,1,74,2,0,1,42,1
Pakistan,Jhelum,168,4,5,1,33,1,11,1,168,4
Nicaragua,Jinotepe,37,1,1,1,26,1,0,1,37,1
Sri Lanka,Kalmunai,56,2,1,1,24,1,1,1,56,2
Russia,Kaspiysk,54,2,1,1,39,1,0,1,54,2
Bulgaria,Kazanlak,56,2,1,1,48,1,0,1,56,2
Mexico,Delicias,72,2,1,1,33,1,0,1,72,2
Germany,Rotenburg,56,2,1,1,48,1,0,1,56,2
Mexico,Ruiz,50,1,1,1,19,1,1,1,50,1
,Safety Harbor,88,2,1,1,88,2,1,1,14,1
France,Courcouronnes,74,2,1,1,44,1,1,1,74,2
Brazil,Sao Jose Dos Campos,65,2,1,1,21,1,2,1,65,2
Ethiopia,Bedele,51,2,1,1,17,1,0,1,51,2
